county,month,covid,retail
EL PASO,11/1/2020,15989.9,#N/A
EL PASO,12/1/2020,14105.7,#N/A
EL PASO,1/1/2021,6557.8,#N/A
EL PASO,2/1/2021,3737.2,#N/A
EL PASO,3/1/2021,4280.3,#N/A
EL PASO,4/1/2021,6703.7,#N/A
EL PASO,5/1/2021,6695.9,#N/A
EL PASO,6/1/2021,2507.8,#N/A
ELBERT,3/1/2020,3.7,#N/A
ELBERT,4/1/2020,659.3,#N/A
ELBERT,5/1/2020,602.9,#N/A
ELBERT,6/1/2020,228.1,#N/A
ELBERT,7/1/2020,693.1,#N/A
ELBERT,8/1/2020,985.4,#N/A
ELBERT,9/1/2020,1037.8,#N/A
ELBERT,10/1/2020,1840,#N/A
ELBERT,11/1/2020,9918.8,#N/A
ELBERT,12/1/2020,11185.7,#N/A
ELBERT,1/1/2021,4099.5,#N/A
ELBERT,2/1/2021,3425,#N/A
ELBERT,3/1/2021,3376.2,#N/A
ELBERT,4/1/2021,5845.7,#N/A
ELBERT,5/1/2021,4136.7,#N/A
ELBERT,6/1/2021,1386.4,#N/A
FREMONT,3/1/2020,18.9,#N/A
FREMONT,4/1/2020,235.2,#N/A
FREMONT,5/1/2020,69.3,#N/A
FREMONT,6/1/2020,119.7,#N/A
FREMONT,7/1/2020,518.7,#N/A
FREMONT,8/1/2020,688.8,#N/A
FREMONT,9/1/2020,224.7,#N/A
FREMONT,10/1/2020,1700.8,#N/A
FREMONT,11/1/2020,13774.7,#N/A
FREMONT,12/1/2020,18652.4,#N/A
FREMONT,1/1/2021,7364.9,#N/A
FREMONT,2/1/2021,4493.9,#N/A
FREMONT,3/1/2021,2550.5,#N/A
FREMONT,4/1/2021,3986,#N/A
FREMONT,5/1/2021,5677.3,#N/A
FREMONT,6/1/2021,1430,#N/A
GARFIELD,3/1/2020,267.9,#N/A
GARFIELD,4/1/2020,754.6,#N/A
GARFIELD,5/1/2020,571.7,#N/A
GARFIELD,6/1/2020,1469.1,#N/A
GARFIELD,7/1/2020,4493.7,#N/A
GARFIELD,8/1/2020,2198.7,#N/A
GARFIELD,9/1/2020,1286.4,#N/A
GARFIELD,10/1/2020,2853.7,#N/A
GARFIELD,11/1/2020,11270,#N/A
GARFIELD,12/1/2020,18549.7,244991
GARFIELD,1/1/2021,11285.3,372718
GARFIELD,2/1/2021,3249.4,256324
GARFIELD,3/1/2021,3663.2,324721
GARFIELD,4/1/2021,3995.5,355577
GARFIELD,5/1/2021,2097.2,326023
GARFIELD,6/1/2021,2501.2,339203
GILPIN,3/1/2020,0,31307
GILPIN,4/1/2020,112.7,16513
GILPIN,5/1/2020,225.4,37424
GILPIN,6/1/2020,434.7,20876
GILPIN,7/1/2020,692.3,41689
GILPIN,8/1/2020,450.8,48840
GILPIN,9/1/2020,225.4,43204
GILPIN,10/1/2020,1174.9,40199
GILPIN,11/1/2020,6693.7,41874
GILPIN,12/1/2020,4666.2,35706
GILPIN,1/1/2021,3105.3,39085
GILPIN,2/1/2021,2108.3,#N/A
GILPIN,3/1/2021,1657.7,#N/A
GILPIN,4/1/2021,4119,39569
GILPIN,5/1/2021,5100.6,#N/A
GILPIN,6/1/2021,1336.1,44884
GRAND,3/1/2020,146.5,82684
GRAND,4/1/2020,76.8,89236
GRAND,5/1/2020,248.1,51656
GRAND,6/1/2020,375.6,63479
GRAND,7/1/2020,941.3,88089
GRAND,8/1/2020,1030.6,122914
GRAND,9/1/2020,477.3,117640
GRAND,10/1/2020,3607.3,108466
GRAND,11/1/2020,10325.6,85408
GRAND,12/1/2020,11095.8,72678
GRAND,1/1/2021,12991.5,117140
GRAND,2/1/2021,15301.2,111067
GRAND,3/1/2021,2748.5,110979
GRAND,4/1/2021,5039,125565
GRAND,5/1/2021,1882.8,86123
GRAND,6/1/2021,808.2,78095
